sat_id,norad_cat_id,name,names,image,status,decayed,launched,deployed,website,operator,countries,telemetries,updated,citation,associated_satellites
ZGDU-9244-7828-7079-5280,39436.0,EAGLE 2,,satellites/50sat-eagle2.jpg,re-entered,2018-05-19T00:00:00Z,,,,None,,[],2021-07-21T10:11:42.153214Z,CITATION NEEDED - https://xkcd.com/285/,[]
FVZE-6295-2194-3210-6337,39438.0,VELOX-PII,,satellites/VeloxPII_Auto1.jpeg,alive,,,,,None,,[],2021-07-21T10:11:42.154637Z,CITATION NEEDED - https://xkcd.com/285/,[]
UESX-7919-5228-5020-3244,39439.0,FIRST-MOVE,,satellites/First-MOVE.png,alive,,,,,None,,[],2021-07-21T10:11:42.155979Z,CITATION NEEDED - https://xkcd.com/285/,[]
MRQX-2618-0103-4345-3937,39440.0,CUBEBUG-2,LO-74,satellites/cubebug-1__1.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.157355Z,CITATION NEEDED - https://xkcd.com/285/,[]
KUWT-6327-2943-5724-0911,39441.0,NEE-02 KRYSAOR,NEE-02,satellites/NEE-02_KRYOSAOR.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.158689Z,CITATION NEEDED - https://xkcd.com/285/,[]
OTOF-8025-8953-4756-4779,39444.0,FUNCUBE-1,AO-73,satellites/FUNCUBE-1.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.160070Z,CITATION NEEDED - https://xkcd.com/285/,[]
JPSK-5862-0649-3000-0292,39445.0,HINCUBE,,satellites/HINCUBE.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.161405Z,CITATION NEEDED - https://xkcd.com/285/,[]
AAXX-7141-8998-4196-8344,39446.0,UWE-3,,satellites/uwe-1__1.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.162785Z,CITATION NEEDED - https://xkcd.com/285/,[]
PIQA-7850-4787-3437-4933,39463.0,FIREBIRD-A,"FIREBIRD-1, FU1",satellites/FB_FU1and2.jpg,alive,,,,http://www.ssel.montana.edu/firebird.html,None,US,[],2021-07-21T10:11:42.164111Z,CITATION NEEDED - https://xkcd.com/285/,[]
FAPD-5101-4024-2322-5857,39464.0,FIREBIRD-B,"FIREBIRD-2, FU2",satellites/FB_FU1and2_b0xID3I.jpg,alive,,,,http://www.ssel.montana.edu/firebird.html,None,US,[],2021-07-21T10:11:42.165504Z,CITATION NEEDED - https://xkcd.com/285/,[]
SSBD-3811-5706-8042-1219,39469.0,MCUBED-2,,satellites/MCUBED-2.jpg,alive,,,,,None,,[{'decoder': 'mxl'}],2021-07-21T10:11:42.167065Z,CITATION NEEDED - https://xkcd.com/285/,[]
IMUE-5672-2044-2610-5888,39471.0,CP8,IPEX,satellites/CP8.png,alive,,,,https://www.polysat.org/launched,None,US,[],2021-07-21T10:11:42.169949Z,CITATION NEEDED - https://xkcd.com/285/,[]
FVRJ-8983-9120-1903-4578,39492.0,AIST-1,,satellites/aist__1.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.172772Z,CITATION NEEDED - https://xkcd.com/285/,[]
EGOY-0622-3973-5317-4250,39770.0,SPROUT,,satellites/SPROUT.png,alive,,,,,None,,[],2021-07-21T10:11:42.175557Z,CITATION NEEDED - https://xkcd.com/285/,[]
RJRN-2264-7831-8205-7763,40012.0,UNISAT-6,,satellites/unisat-6__1.jpg,alive,,,,,None,,[{'decoder': 'us6'}],2021-07-21T10:11:42.178263Z,CITATION NEEDED - https://xkcd.com/285/,[]
GPLA-1467-3987-8284-6460,40014.0,BUGSAT-1,TITA,satellites/bugsat-1__1.jpg,alive,,,,,None,,[{'decoder': 'bugsat1'}],2021-07-21T10:11:42.180923Z,CITATION NEEDED - https://xkcd.com/285/,[]
KVVP-7917-6314-8782-3778,40021.0,DUCHIFAT-1,,satellites/duchifat-1__1.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.183515Z,CITATION NEEDED - https://xkcd.com/285/,[]
YAQZ-5189-9885-8827-9333,40024.0,NANOSATC-BR1,"NCBR-1
NCBR1",satellites/nanosat.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.186099Z,CITATION NEEDED - https://xkcd.com/285/,[]
GJDY-0208-2030-6329-7076,40025.0,QB50P1,"EO 79, European-OSCAR 79, FUNcube 3, EO-79",satellites/qb50p1__1.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.188695Z,CITATION NEEDED - https://xkcd.com/285/,[]
VLOV-4213-3168-9454-2191,40030.0,DTUSAT-2,,satellites/DTUSAT-2.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.191271Z,CITATION NEEDED - https://xkcd.com/285/,[]
HHWQ-8145-7306-2252-6043,40032.0,QB50P2,"EO 80, European-OSCAR 80, EO-80",satellites/qb50p2__1.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.192757Z,CITATION NEEDED - https://xkcd.com/285/,[]
UIYC-4491-1380-9406-8215,40042.0,POLYITAN-1,,satellites/polyitan.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.194176Z,CITATION NEEDED - https://xkcd.com/285/,[]
XCTT-8747-8578-2256-0351,40043.0,TIGRISAT,,satellites/tigrisat__1.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.195590Z,CITATION NEEDED - https://xkcd.com/285/,[]
ZRIM-9073-8711-5268-6171,40054.0,AISAT,,satellites/aisat__1.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.196966Z,CITATION NEEDED - https://xkcd.com/285/,[]
GAVG-9414-7749-2985-8023,40055.0,CANX-4,NLS 7.1,satellites/CANX-4.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.198320Z,CITATION NEEDED - https://xkcd.com/285/,[]
NNNU-2927-1621-5351-4273,40056.0,CANX-5,NLS 7.2,satellites/CANX-4.5.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.199718Z,CITATION NEEDED - https://xkcd.com/285/,[]
MBWN-8482-2114-9688-9106,40057.0,VELOX 1,,satellites/v1.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.201082Z,CITATION NEEDED - https://xkcd.com/285/,[]
DZPB-0849-7335-4514-4452,40069.0,METEOR M-2,,satellites/METEOR-M_2.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.202408Z,CITATION NEEDED - https://xkcd.com/285/,[]
HKKU-3815-5674-8886-1697,40071.0,DX1,DX-1,satellites/DX-1.png,alive,,,,,None,,[],2021-07-21T10:11:42.203786Z,CITATION NEEDED - https://xkcd.com/285/,[]
MYVF-9479-6273-3061-0441,40074.0,UKUBE-1,,satellites/592-original.gif,alive,,,,,None,,[],2021-07-21T10:11:42.205124Z,CITATION NEEDED - https://xkcd.com/285/,[]
RAYV-6611-6544-4727-0745,40377.0,FIREBIRD 3,FU3,satellites/Firebird_Auto3.jpeg,alive,,,,,None,,[],2021-07-21T10:11:42.206574Z,CITATION NEEDED - https://xkcd.com/285/,[]
TOZF-2042-4137-8353-3737,40378.0,FIREBIRD 4,FU4,satellites/firebird4.jpeg,alive,,,,,None,,[],2021-07-21T10:11:42.207959Z,CITATION NEEDED - https://xkcd.com/285/,[]
LKOZ-5067-6870-4427-8883,40379.0,GRIFEX,,satellites/IMG_6740-300x200.jpg,alive,,,,,None,,[{'decoder': 'mxl'}],2021-07-21T10:11:42.209370Z,CITATION NEEDED - https://xkcd.com/285/,[]
CFJB-2077-3855-6332-8459,40380.0,EXOCUBE,,satellites/exocube__1.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.210712Z,CITATION NEEDED - https://xkcd.com/285/,[]
SJIQ-0619-1652-1315-6120,40654.0,NO-84,"PSAT
ParkinsonSAT",satellites/psat__2.jpg,alive,,,,,None,,[{'decoder': 'ax25monitor'}],2021-07-21T10:11:42.212105Z,CITATION NEEDED - https://xkcd.com/285/,[]
KBEL-4970-7091-3600-7423,40655.0,NO-83,BRICSat-P,satellites/bricsat-p__2.jpg,re-entered,2019-11-16T16:31:18Z,,,,None,,[],2021-07-21T10:11:42.213462Z,CITATION NEEDED - https://xkcd.com/285/,[]
BDAD-5123-3691-7989-4312,40661.0,LIGHTSAIL-1,LIGHTSAIL-A,satellites/lightsail1.jpeg,re-entered,2015-06-14T00:00:00Z,,,,None,,[],2021-07-21T10:11:42.214853Z,CITATION NEEDED - https://xkcd.com/285/,[]
LXTN-3112-4423-0306-4983,40719.0,DEORBITSAIL,,satellites/DeorbitSail.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.216197Z,CITATION NEEDED - https://xkcd.com/285/,[]
FQAU-3569-6670-8687-3430,40897.0,SERPENS,PY0ESA,satellites/SERPENS.jpg,re-entered,2016-03-27T00:00:00Z,,,,None,,[],2021-07-21T10:11:42.217622Z,CITATION NEEDED - https://xkcd.com/285/,[]
PDYY-8479-0832-6941-1000,40900.0,NUDT-PHONESAT,"CAS-3I
XW-2I",satellites/NUDT-PHONESAT.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.218993Z,CITATION NEEDED - https://xkcd.com/285/,[]
UCZE-8814-2695-5595-6102,40903.0,XW-2A,CAS-3A,satellites/CAS_3A_XW-2A.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.220312Z,CITATION NEEDED - https://xkcd.com/285/,[]
QORO-7015-0704-0536-9141,40904.0,KAITUO 1A,,,alive,,,,,None,,[],2021-07-21T10:11:42.221642Z,CITATION NEEDED - https://xkcd.com/285/,[]
SRET-6574-7735-8405-8744,40905.0,OBJECT G,,,alive,,,,,None,,[],2021-07-21T10:11:42.223043Z,CITATION NEEDED - https://xkcd.com/285/,[]
LEDR-0123-1783-1341-9342,40906.0,XW-2C,CAS-3C,satellites/XW-2C.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.224440Z,CITATION NEEDED - https://xkcd.com/285/,[]
TPLI-0230-3137-9154-3991,40907.0,XW-2D,CAS-3D,satellites/XW-2D_r2lRYTE.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.225904Z,CITATION NEEDED - https://xkcd.com/285/,[]
AHVS-7983-8710-8819-8034,40908.0,LILACSAT 2,"CAS-3H
XW-2H",satellites/LILACSAT-2.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.227287Z,CITATION NEEDED - https://xkcd.com/285/,[]
DTZR-4707-4114-9612-3004,40909.0,XW-2E,CAS-3E,satellites/XW-2E.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.228678Z,CITATION NEEDED - https://xkcd.com/285/,[]
YWAV-5902-3690-5734-3273,40910.0,XW-2F,CAS-3F,satellites/XW-2F.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.230002Z,CITATION NEEDED - https://xkcd.com/285/,[]
TZEC-4580-2722-6773-9216,40911.0,XW-2B,CAS-3B,satellites/xw2b_small.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.231377Z,CITATION NEEDED - https://xkcd.com/285/,[]
MUJZ-6655-6182-7273-3855,40912.0,KAITUO 1B,"CAS-3G
DCBB
XW-2G",,alive,,,,,None,,[],2021-07-21T10:11:42.232750Z,CITATION NEEDED - https://xkcd.com/285/,[]
XHVR-2136-6377-5531-7206,40926.0,TIANWANG 1C,"TW-1C
NJFA-1",satellites/TIANWANG-1C.jpg,alive,2021-03-05T11:01:25Z,,,,None,,[],2021-07-21T10:11:42.234135Z,CITATION NEEDED - https://xkcd.com/285/,[]
ENOX-9963-2931-2366-2925,40927.0,TIANWANG 1B,TW-1BNJUST-2,satellites/TIANWANG-1B.jpg,re-entered,2021-03-31T00:00:00Z,,,,None,,[],2021-07-21T10:11:42.235515Z,CITATION NEEDED - https://xkcd.com/285/,[]
YQXC-7549-6593-3361-1643,40928.0,TIANWANG 1A,"TW-1A
Shangkeda-2
SECM",satellites/TIANWANG-1A.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.236805Z,CITATION NEEDED - https://xkcd.com/285/,[]
EEIT-0315-8565-1765-1994,40931.0,LAPAN-A2,"ORARI
IO-86",satellites/LAPAN-A2_12tCGA2.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.238086Z,CITATION NEEDED - https://xkcd.com/285/,[]
VWNC-0826-0031-1681-1741,40948.0,AAUSAT 5,,satellites/AAUSAT-5_Pk2F5ul.png,re-entered,2016-03-15T00:00:00Z,,,,None,,[],2021-07-21T10:11:42.239412Z,CITATION NEEDED - https://xkcd.com/285/,[]
ZHBD-4002-1739-5947-4947,40949.0,GOMX-3,,satellites/GOMX-3.jpg,re-entered,2016-10-18T00:00:00Z,,,,None,,[],2021-07-21T10:11:42.240764Z,CITATION NEEDED - https://xkcd.com/285/,[]
MGQA-3984-9891-9370-1393,40958.0,LQSAT,,satellites/LQSAT.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.242401Z,CITATION NEEDED - https://xkcd.com/285/,[]
